    °„C	        No	    CH0	            CH1	            CH2	            CH3
25.085	401	0.1156940529	2012.2547454986	0.4823329736	-0.2416300918
25.099	402	0.1157000134	2010.9961635468	0.4822961379	-0.2416833783
25.108	403	0.1157034705	2009.7375815950	0.4822610904	-0.2417311812
25.123	404	0.1157096693	2008.4796254921	0.4822234203	-0.2417832757
25.136	405	0.1157151530	2007.2247986331	0.4821850349	-0.2418311978
25.155	406	0.1157227824	2005.9655908326	0.4821487953	-0.2418819810
25.169	407	0.1157285044	2004.7051313344	0.4821118404	-0.2419291879
25.189	408	0.1157366106	2003.4528078707	0.4820744087	-0.2419773484
25.200	409	0.1157410214	2002.2067428951	0.4820390035	-0.2420246745
25.206	410	0.1157436440	2000.9481609433	0.4820007373	-0.2420736696
25.226	411	0.1157516310	1999.6933340844	0.4819618751	-0.2421187307
25.235	412	0.1157555649	1998.4441398647	0.4819259931	-0.2421664144
25.263	413	0.1157667706	1997.1930680986	0.4818901111	-0.2422111179
25.270	414	0.1157699892	1995.9413704837	0.4818523217	-0.2422571327
25.288	415	0.1157771418	1994.6909245664	0.4818140556	-0.2423033859
25.300	416	0.1157819102	1993.4429820444	0.4817794849	-0.2423447515
25.316	417	0.1157884667	1992.1931619759	0.4817403842	-0.2423874284
25.324	418	0.1157918045	1990.9496003955	0.4817045022	-0.2424299861
25.340	419	0.1157984803	1989.6960252342	0.4816685010	-0.2424725439
25.360	420	0.1158067057	1988.4505861074	0.4816291619	-0.2425178434
25.368	421	0.1158100436	1987.2107796199	0.4815917302	-0.2425639774
25.383	422	0.1158158848	1985.9659663419	0.4815552522	-0.2426018860
25.402	423	0.1158236334	1984.7217789127	0.4815192510	-0.2426401521
25.411	424	0.1158273289	1983.4788431811	0.4814812232	-0.2426860477
25.427	425	0.1158341238	1982.2402883911	0.4814435531	-0.2427226450
25.445	426	0.1158415148	1980.9967268107	0.4814056445	-0.2427652027
25.458	427	0.1158467600	1979.7581720208	0.4813710738	-0.2428066875
25.471	428	0.1158521244	1978.5189913821	0.4813326884	-0.2428496029
25.499	429	0.1158632109	1977.2816882897	0.4812969256	-0.2428854849
25.510	430	0.1158680985	1976.0456368950	0.4812592555	-0.2429254200
25.523	431	0.1158733437	1974.8045787099	0.4812201548	-0.2429688122
25.540	432	0.1158800194	1973.5653980711	0.4811835576	-0.2430142309
25.551	433	0.1158847878	1972.3362310133	0.4811471987	-0.2430548813
25.568	434	0.1158915827	1971.1008054674	0.4811107207	-0.2430954124
25.583	435	0.1158976624	1969.8716384096	0.4810717393	-0.2431379702
25.599	436	0.1159044573	1968.6424713518	0.4810354996	-0.2431806471
